Date,Details,Debit,Credit,Balance
25/07/2026,VDP-SUPERVALU ENNIS,17.80,,4188.98
25/07/2026,CAFFE NERO,6.01,,4182.97
26/07/2026,CAFFE NERO,3.99,,4178.98
28/07/2026,POS LIDL LIMERICK,16.37,,4162.61
30/07/2026,VDP-SUPERVALU ENNIS,15.85,,4146.76
31/07/2026,CIRCLE K,79.11,,4067.65
01/08/2026,STO RENT LANDLORD,1450.00,,2617.65
01/08/2026,VDP-SUPERVALU ENNIS,15.29,,2602.36
02/08/2026,RYANAIR,152.67,,2449.69
03/08/2026,DD ELECTRIC IRELAND,118.40,,2331.29
03/08/2026,VDP-SUPERVALU ENNIS,35.37,,2295.92
04/08/2026,PENNEYS,45.61,,2250.31
05/08/2026,CAFFE NERO,5.01,,2245.30
05/08/2026,CAFFE NERO,3.27,,2242.03
06/08/2026,TRANSFER TO SAVINGS,400.00,,1842.03
06/08/2026,DD VODAFONE IRELAND,35.00,,1807.03
06/08/2026,VDP-SUPERVALU ENNIS,44.76,,1762.27
07/08/2026,CAFFE NERO,5.93,,1756.34
07/08/2026,CAFFE NERO,3.29,,1753.05
07/08/2026,CAFFE NERO,4.17,,1748.88
08/08/2026,CAFFE NERO,5.72,,1743.16
09/08/2026,NETFLIX.COM,17.99,,1725.17
11/08/2026,BOOTS PHARMACY,29.83,,1695.34
12/08/2026,SPOTIFY,10.99,,1684.35
13/08/2026,POS LIDL LIMERICK,47.68,,1636.67
14/08/2026,POS TESCO STORES 4321,78.76,,1557.91
14/08/2026,CAFFE NERO,6.46,,1551.45
15/08/2026,DD VHI HEALTHCARE,96.50,,1454.95
15/08/2026,CIRCLE K,72.18,,1382.77
16/08/2026,POS TESCO STORES 4321,86.45,,1296.32
17/08/2026,UBER *TRIP,14.73,,1281.59
17/08/2026,CIRCLE K,45.65,,1235.94
17/08/2026,BOOTS PHARMACY,25.77,,1210.17
18/08/2026,FLYEFIT,29.00,,1181.17
18/08/2026,ODEON CINEMA,12.50,,1168.67
19/08/2026,UBER *TRIP,21.04,,1147.63
20/08/2026,DD EIR BROADBAND,49.99,,1097.64
20/08/2026,AMAZON EU,9.44,,1088.20
21/08/2026,VDP-SUPERVALU ENNIS,15.12,,1073.08
21/08/2026,CAFFE NERO,3.54,,1069.54
22/08/2026,CAFFE NERO,6.29,,1063.25
24/08/2026,POS LIDL LIMERICK,31.00,,1032.25
24/08/2026,CAFFE NERO,6.28,,1025.97
25/08/2026,SALARY ACME LTD,,3850.00,4875.97
26/08/2026,CAFFE NERO,6.40,,4869.57
26/08/2026,AMAZON EU,25.63,,4843.94
27/08/2026,DELIVEROO,21.15,,4822.79
29/08/2026,VDP-SUPERVALU ENNIS,26.29,,4796.50
29/08/2026,UBER *TRIP,15.33,,4781.17
30/08/2026,DELIVEROO,35.76,,4745.41
30/08/2026,UBER *TRIP,22.05,,4723.36
